count,kwh_peak_sum,kwh_sum_max,ADMD,batch
1,2.994,2.994,1,1
2,6.751,6.7000002,1.00761191022054,1
3,7.441,7.0560002,1.05456346217224,1
4,8.215,7.1360002,1.15120512468596,1
5,11.9989999,7.3140002,1.64055230679376,1
6,15.58,8.5860002,1.81458183520657,1
7,18.0149999,8.8220002,2.04205389838917,1
8,22.204,10.4440002,2.12600532121782,1
9,24.786,10.9440002,2.26480259019001,1
10,26.131,10.9440002,2.38770097975693,1
11,26.563,11.2500002,2.36115551357946,1
12,26.796,11.2500002,2.38186662432237,1
13,28.8840001,13.4759998,2.14336602320223,1
14,30.5250001,13.5339998,2.25543080767594,1
15,32.5340002,13.6439998,2.38449140112125,1
16,35.2500003,14.9180002,2.36291726956808,1
17,36.5440003,15.9840002,2.28628627644787,1
18,38.7990004,16.3920002,2.36694728688449,1
19,43.8240005,21.8960004,2.00146144041905,1
20,45.6070005,21.9140004,2.08118096502362,1
21,48.2360004,22.1800004,2.17475200766904,1
22,49.6730004,22.6020004,2.19772584377089,1
23,51.3300003,22.7680004,2.25447994545889,1
24,53.3800003,22.7680004,2.34451859461492,1
25,56.4510004,23.0480004,2.44927973881847,1
26,59.6820003,29.2240006,2.04222553636274,1
27,61.5360003,29.7100006,2.07122177910693,1
28,68.0640002,41.054,1.65791397184196,1
29,71.2810002,42.136,1.69168882191001,1
1,0.419,0.419,1,2
2,1.281,0.968,1.32334710743802,2
3,3.9299999,2.7329999,1.43798025751849,2
4,6.1529999,3.487,1.76455402925151,2
5,11.3249998,6.5419999,1.73112197693552,2
6,12.8979998,6.9199999,1.86387283040279,2
7,15.7539997,7.2589999,2.17027137581308,2
8,17.9669998,7.3389999,2.44815370552056,2
9,21.5099998,8.4250002,2.55311564265601,2
10,22.6219998,8.4560002,2.6752600833666,2
11,28.7929998,12.1279998,2.37409303057541,2
12,31.7759998,13.2729998,2.39403302032748,2
13,34.2379997,13.8239998,2.47670719005653,2
14,35.5869997,14.1159998,2.5210399691278,2
15,38.0449996,14.5869998,2.60814424635832,2
16,39.5869997,14.6069998,2.7101389910336,2
17,41.3439997,14.8899998,2.7766286269527,2
18,42.3869997,15.0129998,2.82335311161464,2
19,44.4749998,15.4499998,2.878640801018,2
20,46.5109998,15.8669998,2.93130398854609,2
21,47.6629998,16.2039998,2.94143423773678,2
22,50.3789999,16.5439998,3.04515235185146,2
23,52.9589998,17.1369998,3.0903308874404,2
24,54.5779998,17.2169998,3.17000641424181,2
25,55.5999998,17.5639998,3.16556595497115,2
26,57.8059999,18.3579998,3.14881798288286,2
27,60.157,18.4989998,3.2519055435635,2
1,1.04,1.04,1,3
2,2.494,1.472,1.69429347826087,3
3,3.927,2.09,1.87894736842105,3
4,5.846,2.91,2.00893470790378,3
5,8.4889999,3.564,2.3818742704826,3
6,9.1469999,3.778,2.42112226045527,3
7,11.6579998,4.013,2.90505850984301,3
8,15.6979998,5.924,2.64989868332208,3
9,17.6359998,6.017,2.93102871863055,3
10,19.9589998,6.2390001,3.19907028050857,3
11,22.7709998,7.065,3.22307145081387,3
12,24.8779999,7.8339999,3.1756446537611,3
13,28.5359999,9.6509999,2.95679206255095,3
14,30.3699999,9.7769999,3.10626983846036,3
15,32.2459999,10.1719999,3.17007473623746,3
16,34.2469998,10.778,3.17749116719243,3
17,36.5669997,11.393,3.20960236109892,3
18,38.2199997,12.419,3.07754245108302,3
19,39.8349997,12.626,3.15499760019008,3
20,41.7209997,13.244,3.15018119148294,3
21,43.7179997,13.589,3.2171609169181,3
22,45.9369998,13.589,3.38045476488336,3
23,49.6199999,15.143,3.27676153338176,3
24,53.5379999,16.843,3.17864987828772,3
25,55.33,17.762,3.11507713095372,3
26,56.851,17.838,3.18707254176477,3
27,59.618,18.07,3.29928057553957,3
1,1.807,1.807,1,4
2,4.4470001,2.9599999,1.50236494940422,4
3,5.6230001,3.0249999,1.85884306971382,4
4,8.6950001,4.0960001,2.12280270696282,4
5,11.6130001,4.5990001,2.52511412208928,4
6,16.9290001,7.6670002,2.20803438873003,4
7,17.2770001,7.8420002,2.20313691142216,4
8,20.262,8.519,2.37844817466839,4
9,23.088,9.841,2.34610303830912,4
10,26.9650001,10.257,2.62893634591011,4
11,29.8340001,11.48,2.59878049651568,4
12,31.213,11.651,2.67899751094327,4
13,35.2170002,12.047,2.92330042334191,4
14,38.7770001,13.92,2.78570403017241,4
15,40.7890002,14.191,2.87428653371855,4
16,42.4650002,14.456,2.93753460154953,4
17,44.4010002,15.398,2.88355631900247,4
18,45.3450002,15.398,2.94486298220548,4
19,46.8420002,15.878,2.95011967502204,4
20,48.4150002,16.088,3.00938589010443,4
21,50.0900002,16.355,3.06267197798838,4
22,52.0640002,16.9279999,3.07561439671322,4
23,53.8230001,17.1489999,3.13855037692315,4
24,55.36,17.758,3.11746818335398,4
25,57.2899999,18.7770001,3.05107309979724,4
26,60.006,18.8760001,3.17895738938887,4
27,61.371,19.1330001,3.20759941876549,4
28,62.97,19.1970001,3.28020001416784,4
1,1.3839999,1.3839999,1,5
2,4.1079999,2.724,1.5080763215859,5
3,9.607,7.339,1.30903392832811,5
4,13.7679998,7.339,1.87600487804878,5
5,14.6889998,7.481,1.96350752573185,5
6,16.4419998,7.828,2.10040876341339,5
7,18.4999999,8.147,2.27077450595311,5
8,22.8229999,8.9889999,2.53899211857818,5
9,25.3139998,9.2509999,2.73635283468115,5
10,29.5519997,10.782,2.74086437581154,5
11,31.2249997,11.138,2.8034655862812,5
