LCLid,datetime,KWh1
0,2012-12-19T12:37:27Z,
1,2012-12-19T12:37:26Z,
2,2012-12-19T12:32:40Z,
3,2012-12-19T12:37:26Z,
4,2012-12-19T12:37:27Z,
5,2012-12-19T12:37:27Z,
6,2012-12-19T12:37:27Z,
7,2012-12-19T12:37:27Z,
8,2012-12-19T12:37:28Z,
9,2012-12-19T12:37:28Z,
10,2012-12-19T12:37:27Z,
11,2012-12-18T15:13:40Z,
12,2012-12-18T15:13:41Z,
13,2012-12-18T15:13:41Z,
14,2012-12-18T15:13:41Z,
15,2012-12-18T15:13:41Z,
16,2012-12-18T15:13:41Z,
17,2012-12-18T15:13:41Z,
18,2012-12-18T15:13:41Z,
19,2012-12-18T15:13:41Z,
20,2012-12-18T15:13:41Z,
21,2012-12-18T15:13:41Z,
22,2012-12-18T15:13:42Z,
23,2012-12-18T15:13:42Z,
24,2012-12-18T15:13:42Z,
25,2012-12-18T15:13:42Z,
26,2012-12-18T15:13:42Z,
27,2012-12-18T15:13:42Z,
28,2012-12-18T15:13:42Z,
29,2012-12-18T15:13:42Z,
30,2012-12-18T15:13:43Z,
31,2012-12-18T15:13:43Z,
32,2012-12-18T15:13:43Z,
33,2012-12-18T15:13:43Z,
34,2012-12-18T15:13:43Z,
35,2012-12-18T15:13:43Z,
36,2012-12-18T15:13:43Z,
37,2012-12-18T15:13:43Z,
38,2012-12-18T15:13:44Z,
39,2012-12-18T15:13:44Z,
40,2012-12-18T15:13:44Z,
41,2012-12-18T15:13:44Z,
42,2012-12-18T15:13:44Z,
43,2012-12-18T15:13:44Z,
44,2012-12-18T15:13:45Z,
45,2012-12-18T15:13:45Z,
46,2012-12-18T15:13:45Z,
47,2012-12-18T15:13:45Z,
48,2012-12-18T15:13:45Z,
49,2012-12-18T15:13:45Z,
50,2012-12-18T15:13:45Z,
51,2012-12-18T15:13:45Z,
52,2012-12-18T15:13:46Z,
53,2012-12-18T15:13:46Z,
54,2012-12-18T15:13:46Z,
55,2012-12-18T15:13:46Z,
56,2012-12-18T15:13:46Z,
57,2012-12-18T15:13:46Z,
58,2012-12-18T15:13:46Z,
59,2012-12-18T15:13:47Z,
60,2012-12-18T15:13:47Z,
61,2012-12-18T15:13:47Z,
62,2012-12-18T15:13:47Z,
63,2012-12-18T15:13:47Z,
64,2012-12-18T15:13:47Z,
65,2012-12-18T15:13:48Z,
66,2012-12-18T15:13:48Z,
67,2012-12-18T15:13:48Z,
68,2012-12-18T15:13:48Z,
69,2012-12-18T15:13:48Z,
70,2012-12-18T15:13:48Z,
71,2012-12-18T15:13:48Z,
72,2012-12-18T15:13:48Z,
73,2012-12-18T15:13:49Z,
74,2012-12-18T15:13:49Z,
75,2012-12-18T15:13:49Z,
76,2012-12-18T15:13:49Z,
77,2012-12-18T15:13:49Z,
78,2012-12-18T15:13:49Z,
79,2012-12-18T15:13:49Z,
80,2012-12-18T15:13:49Z,
81,2012-12-18T15:13:50Z,
82,2012-12-18T15:13:50Z,
83,2012-12-18T15:13:50Z,
84,2012-12-18T15:13:50Z,
85,2012-12-18T15:13:50Z,
86,2012-12-18T15:13:50Z,
87,2012-12-18T15:13:51Z,
88,2012-12-18T15:13:51Z,
89,2012-12-18T15:13:51Z,
90,2012-12-18T15:13:51Z,
91,2012-12-18T15:13:51Z,
92,2012-12-18T15:13:51Z,
93,2012-12-18T15:13:51Z,
94,2012-12-18T15:13:51Z,
95,2012-12-18T15:13:52Z,
96,2012-12-18T15:13:52Z,
97,2012-12-18T15:13:52Z,
98,2012-12-18T15:13:52Z,
99,2012-12-18T15:13:52Z,
100,2012-12-18T15:13:52Z,
101,2012-12-18T15:13:52Z,
102,2012-12-18T15:13:53Z,
103,2012-12-18T15:13:53Z,
104,2012-12-18T15:13:53Z,
105,2012-12-18T15:13:53Z,
106,2012-12-18T15:13:53Z,
107,2012-12-18T15:13:53Z,
108,2012-12-18T15:13:53Z,
109,2012-12-18T15:13:53Z,
110,2012-12-18T15:13:53Z,
111,2012-12-18T15:13:54Z,
112,2012-12-18T15:13:54Z,
113,2012-12-18T15:13:54Z,
114,2012-12-18T15:13:54Z,
115,2012-12-18T15:13:54Z,
116,2012-12-18T15:13:54Z,
117,2012-12-18T15:13:54Z,
118,2012-12-18T15:13:55Z,
119,2012-12-18T15:13:55Z,
120,2012-12-18T15:13:26Z,
121,2012-12-18T15:13:26Z,
122,2012-12-18T15:13:26Z,
123,2012-12-18T15:13:26Z,
124,2012-12-18T15:13:26Z,
125,2012-12-18T15:13:27Z,
126,2012-12-18T15:13:27Z,
127,2012-12-18T15:13:27Z,
128,2012-12-18T15:13:27Z,
129,2012-12-18T15:13:27Z,
130,2012-12-18T15:13:27Z,
131,2012-12-18T15:13:27Z,
132,2012-12-18T15:13:28Z,
133,2012-12-18T15:13:28Z,
134,2012-12-18T15:13:28Z,
135,2012-12-18T15:13:28Z,
136,2012-12-18T15:13:28Z,
137,2012-12-18T15:13:28Z,
138,2012-12-18T15:13:28Z,
139,2012-12-18T15:13:28Z,
140,2012-12-18T15:13:29Z,
141,2012-12-18T15:13:29Z,
142,2012-12-18T15:13:29Z,
143,2012-12-18T15:13:29Z,
144,2012-12-18T15:13:29Z,
145,2012-12-18T15:13:29Z,
146,2012-12-18T15:13:29Z,
147,2012-12-18T15:13:29Z,
148,2012-12-18T15:13:30Z,
149,2012-12-18T15:13:30Z,
150,2012-12-18T15:13:30Z,
151,2012-12-18T15:13:30Z,
152,2012-12-18T15:13:30Z,
153,2012-12-18T15:13:30Z,
154,2012-12-18T15:13:30Z,
155,2012-12-18T15:13:31Z,
156,2012-12-18T15:13:31Z,
157,2012-12-18T15:13:31Z,
158,2012-12-18T15:13:31Z,
159,2012-12-18T15:13:31Z,
160,2012-12-18T15:13:32Z,
161,2012-12-18T15:13:32Z,
162,2012-12-18T15:13:32Z,
163,2012-12-18T15:13:32Z,
164,2012-12-18T15:13:32Z,
165,2012-12-18T15:13:32Z,
166,2012-12-18T15:13:32Z,
167,2012-12-18T15:13:33Z,
168,2012-12-18T15:13:33Z,
169,2012-12-18T15:13:33Z,
170,2012-12-18T15:13:33Z,
171,2012-12-18T15:13:33Z,
172,2012-12-18T15:13:33Z,
173,2012-12-18T15:13:33Z,
