LCLid,zeros,NAs,obs,start,end,lost_time
29,2878,1,22892,2012-11-08T10:30:00Z,2014-02-28T00:00:00Z,-17
31,38771,1,39065,2011-12-07T16:00:00Z,2014-02-28T00:00:00Z,-25
32,,1,39030,2011-12-08T09:00:00Z,2014-02-28T00:00:00Z,-24
33,,1,39024,2011-12-08T10:00:00Z,2014-02-28T00:00:00Z,-20
34,,1,39031,2011-12-08T10:30:00Z,2014-02-28T00:00:00Z,-28
35,874,1,39012,2011-12-08T10:30:00Z,2014-02-28T00:00:00Z,-9
36,1888,1,39022,2011-12-08T11:00:00Z,2014-02-28T00:00:00Z,-20
37,,1,38979,2011-12-08T11:00:00Z,2014-02-28T00:00:00Z,23
38,,1,39026,2011-12-08T11:30:00Z,2014-02-28T00:00:00Z,-25
39,,1,39011,2011-12-08T12:30:00Z,2014-02-28T00:00:00Z,-12
40,,1,39025,2011-12-08T14:00:00Z,2014-02-28T00:00:00Z,-29
41,,1,23797,2011-12-08T14:00:00Z,2013-04-17T00:00:00Z,-17
42,,1,38973,2011-12-09T09:00:00Z,2014-02-28T00:00:00Z,-15
43,,1,38984,2011-12-09T09:00:00Z,2014-02-28T00:00:00Z,-26
44,,1,38982,2011-12-09T09:30:00Z,2014-02-28T00:00:00Z,-25
45,2023,1,38972,2011-12-09T09:30:00Z,2014-02-28T00:00:00Z,-15
46,,1,38984,2011-12-09T10:00:00Z,2014-02-28T00:00:00Z,-28
47,,1,38932,2011-12-09T10:00:00Z,2014-02-28T00:00:00Z,24
48,,1,38981,2011-12-09T10:00:00Z,2014-02-28T00:00:00Z,-25
49,,1,38981,2011-12-09T10:30:00Z,2014-02-28T00:00:00Z,-26
50,368,1,38971,2011-12-09T11:30:00Z,2014-02-28T00:00:00Z,-18
51,,1,38975,2011-12-09T11:00:00Z,2014-02-28T00:00:00Z,-21
52,,1,31438,2011-12-09T11:00:00Z,2013-09-23T23:30:00Z,-21
53,,1,38979,2011-12-09T11:30:00Z,2014-02-28T00:00:00Z,-26
